time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav5_true_pos_x,uav6_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y,uav5_true_pos_y,uav6_true_pos_y
279.16,-2.7963512430890045,-1.8164364821914067,17.350094152472064,-20.724654723287184,32.526666666670124,-12.64990584752813,-3.1468459378075617,-29.18307130257476,-13.581327946778817,14.225393046138072,8.0,-28.581327946778764
279.18,-2.7888768371347776,-1.8328106517373006,17.353295338902004,-20.749215977606024,32.530000000003454,-12.646704661098187,-3.115927889517166,-29.219566323765086,-13.608211474232656,14.170650514352584,8.0,-28.608211474232604
279.2,-2.7812789260007724,-1.8484516947936944,17.35649984890894,-20.772677542190614,32.533333333336785,-12.643500151091251,-3.0850935766318357,-29.2563815077536,-13.63520352044339,14.115427738369815,8.0,-28.63520352044334
279.22,-2.773557847370677,-1.8633533551519077,17.359713373001057,-20.795030032727933,32.536666666670115,-12.640286626999131,-3.0543443695604022,-29.293502128957567,-13.662298877841872,14.059746806563863,8.0,-28.662298877841824
279.24,-2.7657139444022714,-1.8775096723464855,17.362941576903886,-20.8162645085198,32.540000000003445,-12.6370584230963,-3.0236816349292286,-29.330913339623443,-13.689492229427017,14.00362999056505,8.0,-28.68949222942697
279.26,-2.7577475657121737,-1.8909149840392983,17.366190098420418,-20.83637247605902,32.543333333336776,-12.633809901579768,-2.9931067355214735,-29.36860017576577,-13.716778150935394,13.94709973635156,8.0,-28.716778150935347
279.28000000000003,-2.7496590653603477,-1.903563928284402,17.36946454431925,-20.855345892426673,32.546666666670106,-12.630535455680937,-2.962621030216523,-29.406547563152575,-13.74415111307738,13.890178655271352,8.0,-28.744151113077336
279.3,-2.7414488028343666,-1.915451445672751,17.37277048725246,-20.873177168509198,32.550000000003436,-12.627229512747727,-2.9322258739295934,-29.444740323334862,-13.771605483838842,13.832889514997921,8.0,-28.771605483838798
279.32,-2.733117143033436,-1.926572781355888,17.376113462704936,-20.889859172033905,32.55333333333677,-12.623886537295249,-2.901922617551517,-29.48316317971779,-13.799135530847154,13.775255230423532,8.0,-28.79913553084711
279.34000000000003,-2.7246644562521745,-1.9369234869478202,17.379498965976826,-20.905385230421803,32.5566666666701,-12.62050103402336,-2.8717126078887003,-29.5218007636711,-13.826735423800448,13.717298854493565,8.0,-28.826735423800404
