time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav5_true_pos_x,uav6_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y,uav5_true_pos_y,uav6_true_pos_y
0.0,0.0,2.0,20.0,-20.0,-14.0,-10.0,0.0,-30.0,-15.0,8.0,8.0,-30.0
0.02,0.019999555557201645,1.9992000533322667,20.01991985621297,-20.0011999200016,-13.996666666666666,-10.00044444115227,-0.00022222057613534527,-29.960007999733335,-14.979924160047789,8.059988000399995,8.0,-29.966667407404664
0.04,0.03999777780576116,1.9976004799648013,20.039759345904613,-20.003599280052796,-13.993333333333332,-10.001333303703944,-0.0006666518519725647,-29.920039995466897,-14.959780799105888,8.119940006799654,8.0,-29.933337036990398
0.06,0.05999377793909271,1.9952019197056234,20.059518343541903,-20.007197120441564,-13.989999999999998,-10.002666548150167,-0.0013332740750836673,-29.88011197386949,-14.93957823145867,8.179832039195766,8.0,-29.900010370101512
0.08,0.07998666724937079,1.9920053319468565,20.07919682065999,-20.011992002079715,-13.986666666666665,-10.004444115235847,-0.002222057617924025,-29.840239905617384,-14.919324762743706,8.239640141573924,8.0,-29.866688887917714
0.1,0.09997555716702816,1.9880119952809834,20.098794845660127,-20.017982007078526,-13.98333333333333,-10.006665925958297,-0.0033329629791491455,-29.80043973900626,-14.899028685988274,8.299340391490606,8.0,-29.833374071388285
0.12,0.11995955930024772,1.9832235069894266,20.118312583538696,-20.025164739515862,-13.979999999999997,-10.00933188157074,-0.004665940785370284,-29.760727393572108,-14.878698277653125,8.358908909641839,8.0,-29.800067401166253
0.14,0.13993778547444644,1.9776417824036572,20.137750295547583,-20.033537326394516,-13.976666666666663,-10.012441863586696,-0.006220931793348807,-29.7211187537236,-14.85834179368556,8.418321869414598,8.0,-29.766770357542587
0.16,0.1599093477717496,1.9712690541390874,20.15710833878603,-20.04309641879137,-13.97333333333333,-10.015995733785257,-0.007997866892629213,-29.681629662388577,-14.83796746558388,8.477555506417135,8.0,-29.733484420380414
0.18,0.17987335857045367,1.9641078712020543,20.1763871657243,-20.05383819319692,-13.969999999999995,-10.01999333421722,-0.0099966671086107,-29.642275914677054,-14.817583496475292,8.536586127984421,8.0,-29.70021106904924
0.2,0.19982893058447612,1.956161097970252,20.195587323659392,-20.065758353044625,-13.966666666666661,-10.024434487212114,-0.012217243606057132,-29.603073251563405,-14.797198057209282,8.595390122654896,8.0,-29.666951782359202
0.22,0.21977517690279005,1.9474319130470172,20.214709454103197,-20.07885213042948,-13.963333333333328,-10.02931899538609,-0.014659497693045264,-29.56403735359018,-14.776819282468537,8.653943969614732,8.0,-29.633708038495346
0.24,0.23971121102884244,1.937923807989932,20.233754292103463,-20.093114288015105,-13.959999999999994,-10.034646641650701,-0.01732332082535102,-29.5251838345961,-14.756455266899414,8.712224248105853,8.0,-29.600481314951924
0.26,0.25963614691995374,1.9276405859142458,20.252722665497974,-20.108539121128633,-13.95666666666666,-10.040417189222547,-0.020208594611273677,-29.48652823547072,-14.736114061264006,8.770207646793924,8.0,-29.567273088466738
0.28,0.27954909902669756,1.9165863599716813,20.271615494102456,-20.12512046004248,-13.953333333333326,-10.046630381633795,-0.02331519081689769,-29.448086017938287,-14.715803668615798,8.82787097309257,8.0,-29.534084834955497
