time,uav2_fused_error,uav3_fused_error,uav4_fused_error,uav5_fused_error,uav6_fused_error
0.0,15.135312191432162,14.818734615654416,22.99251273339404,10.423297527929748,36.42595884621919
0.02,15.985701962438194,15.666179958289765,22.767770009033097,9.578618139750825,41.45696484217954
0.04,19.100140804796638,16.679432078594292,22.8013080286777,10.144869166054841,44.76125534283147
0.06,21.834272396593487,17.61020542164441,22.862929856637482,10.77495207296186,46.900035984810685
0.08,23.815513283411228,18.400702935115195,22.880431105762497,11.355075636492648,48.28203783392807
0.1,25.151362031922883,19.03459271312528,22.842138726144206,11.856272860817691,49.1564478244595
0.12,26.01396339611246,19.518129211255197,22.755690640082477,12.254828290134691,49.691084968500775
0.14,26.54716424736813,19.871276133033433,22.630878379300878,12.54753657134964,49.98820881016837
0.16,26.850715130756896,20.12012970299714,22.48164199757235,12.750415635509162,50.13408697789955
0.18,27.002090512740804,20.286950972545352,22.315408260606045,12.875716414415265,50.1762011865947
0.2,27.046319457340395,20.38595992440609,22.140389187838696,12.94095087381011,50.14746778488982
0.22,27.01754392099426,20.440752858324903,21.962932453035506,12.956437283485908,50.076822489602606
0.24,26.942476437868688,20.457807796185566,21.786976605321986,12.938026818609433,49.98431390615585
0.26,26.831828785044426,20.452884955974987,21.61269358313021,12.897099030374752,49.87335970346959
0.28,26.703110230932317,20.42914414355933,21.44250239695732,12.844645898707398,49.75489459627747
0.3,26.55906781349047,20.403383375571742,21.276160751019226,12.784295724982469,49.64059643259454
0.32,26.398925632372276,20.36801024847523,21.111110793150154,12.722629748278528,49.51925368008551
0.34,26.228294991700352,20.333725415304148,20.948872687707546,12.658977707427917,49.397033122976325
0.36,26.051412019748113,20.29464069717588,20.793393822159366,12.597520193328139,49.27955204701469
0.38,25.866732190552796,20.260087928437798,20.643447930937665,12.530796647023818,49.16667063258788
0.4,25.674070580724496,20.223218790313013,20.501156985171082,12.466425365006383,49.056326677972095
0.42,25.476130666194383,20.18240632436246,20.369925500138958,12.409116672620454,48.95753918141939
0.44,25.27138335681758,20.149400397947634,20.24382105190606,12.361725392532032,48.86211544614651
0.46,25.072194617922804,20.12135295605331,20.12287224478559,12.314246574727225,48.77661623473219
0.48,24.86940391459952,20.09120145561915,20.0057708690303,12.272567669109906,48.69858463845394
0.5,24.65983574234434,20.067768085242054,19.8973311586148,12.225151395598163,48.622971724683815
0.52,24.451051918607895,20.04225465989663,19.795099053388157,12.19122888938095,48.55606411017878
0.54,24.236059441774326,20.019003458387598,19.69676857801532,12.15869963038938,48.49292685262406
0.56,24.004744127878396,19.998332320450753,19.600424189469972,12.126311600471533,48.43428476215925
0.58,23.7674888355439,19.97603897605678,19.50795570388808,12.10141888536019,48.376082560020265
0.6,23.530599059834024,19.955822483526116,19.41980157957921,12.07532737078992,48.325736043555295
0.62,23.29283964902102,19.934010524961906,19.33536478642037,12.049901070222717,48.27439413621184
0.64,23.0644141599783,19.914454540499257,19.254058371248828,12.025628033535298,48.22870792209646
0.66,22.842413755168465,19.896637646206468,19.177682558220944,12.004463967823218,48.18309640707384
0.68,22.625029199930395,19.876221049233997,19.10614455727119,11.990244960049795,48.14113976311501
0.7000000000000001,22.409286584195137,19.8603357867251,19.040622174578413,11.978209676926179,48.102301810982574
0.72,22.189048691350347,19.847586123077782,18.9788564268332,11.970717726919515,48.06758034819243
0.74,21.962714990467877,19.832437009799374,18.92189577376571,11.964959898392998,48.035070725658926
0.76,21.735300000864324,19.815527014306006,18.870515730496017,11.964211960336891,48.003916022402095
0.78,21.50933642625183,19.80121739846284,18.827607372272222,11.96274344289203,47.975427552597836
0.8,21.284538434801764,19.78676428495083,18.787575864147655,11.964006506497523,47.95172165595669
0.8200000000000001,21.06376310214942,19.774350575552536,18.751291769986597,11.966962229817936,47.93177170486472
0.84,20.846589023649187,19.761178580549345,18.719863959131327,11.970892122590236,47.907541662305235
0.86,20.630350788202524,19.746815716059736,18.692287039548816,11.98113018041069,47.88792549509037
0.88,20.42073442039485,19.732315305015806,18.66871236731232,11.990678420301789,47.87050805014656
0.9,20.219971205230948,19.72010583164796,18.64673183079453,12.002608323054746,47.85476549677507
0.92,20.01895029409112,19.703532797219484,18.626007923407187,12.017007228433561,47.83318931446854
0.9400000000000001,19.80960541917209,19.688287659311865,18.607378906538987,12.028523023546084,47.804589496418615
0.96,19.601016630813703,19.66917150241173,18.58997107790287,12.041201925215763,47.77818826172245
0.98,19.39164616576844,19.652401936910152,18.575166806239615,12.054672414518754,47.761311149752835
1.0,19.181518312923423,19.636276812067123,18.560535148116493,12.067987483733948,47.74066143393003
1.02,18.9702874362881,19.614657483043086,18.550023134338506,12.080349149349383,47.70490242138723
1.04,18.76127586335728,19.593079389373123,18.542553408579426,12.09159857534922,47.66971842828659
1.06,18.552023821636137,19.571223173243197,18.535566934231532,12.109058810741821,47.639273990610185
1.08,18.343692418530416,19.549540956229357,18.52822154974189,12.119122250131975,47.6009494319667
1.1,18.12944933415385,19.533204003416746,18.522571243974845,12.126719456137458,47.566334178682396
1.12,17.91476926919847,19.507392630778174,18.51814513316851,12.141640106474265,47.52789329173286
1.1400000000000001,17.700371780451004,19.477790926407213,18.51679648852346,12.156568792492198,47.49001948406427
1.16,17.48698557988661,19.44590248841646,18.516829087865556,12.164885001434783,47.45078021777837
1.18,17.27557035980742,19.411805305213566,18.513399094586607,12.176984500263629,47.40639917280137
1.2,17.071207274324955,19.37914892777198,18.51136997235908,12.18660395004476,47.3563381073285
1.22,16.872796745135084,19.351215835467062,18.510452866731487,12.19473142797913,47.29288925848118
1.24,16.6773653828543,19.319379456250577,18.507948435861618,12.199948184277355,47.225059993223304
1.26,16.484173137707796,19.283022589674285,18.50470530700506,12.206213129784597,47.16275636073885
1.28,16.29670698137694,19.24795297828623,18.505321358077136,12.213417616686904,47.08747181627259
1.3,16.111641250666427,19.20905563742956,18.503342485436164,12.219762019400571,47.02289533920528
1.32,15.929495209339981,19.16341266753319,18.500224647864325,12.224025778525716,46.95475521048355
1.34,15.751686674408987,19.12061473475754,18.49731240137069,12.2270635165802,46.8604791026271
1.36,15.580472784166863,19.080365522851988,18.494662012783508,12.22704360511173,46.773934292998554
1.3800000000000001,15.412591470606936,19.040996513061412,18.490546456779125,12.23201834028154,46.684778500478394
1.4000000000000001,15.252378944302992,18.99123266044301,18.486211667254743,12.233054605211205,46.589579243351686
1.42,15.096353157037482,18.94661155243063,18.48161377398441,12.225265472294488,46.4843695854058
1.44,14.94482752170272,18.893460689674633,18.4745535961352,12.221405274671787,46.3693328697277
1.46,14.79329402498623,18.84138052452831,18.467391762277057,12.212807784988424,46.267141502128716
