time,uav2_fused_error,uav3_fused_error,uav4_fused_error,uav5_fused_error,uav6_fused_error
0.0,5.690673646291037,9.33448862239845,8.961592482097934,26.64508967169336,3.9274923920760108
0.02,10.404804097096545,3.9387090067902655,14.956677197381389,26.365546817199743,10.699456964569144
0.04,17.716838863050157,2.566856120195574,19.317541276796778,27.68037588927164,12.989239683829659
0.06,22.79719733326082,5.195912604608256,22.225566688998132,29.94580909022762,14.39586038278286
0.08,26.21524797499484,7.8281812508523885,24.10738756675208,32.27956422030224,15.81536490249741
0.1,28.501672361924385,9.93661919486102,25.28806924590125,34.27167944593282,17.169058428849347
0.12,30.026351765715148,11.522060288624422,25.997046833581603,35.80407101801782,18.30984385728458
0.14,31.042247323438904,12.669449645111259,26.391517394189606,36.87761264323128,19.191764172827558
0.16,31.718305757418275,13.466726137345102,26.572929362616655,37.605252958930926,19.831204471578452
0.18,32.16819717705524,13.990007589673294,26.612502617835897,38.03553996097492,20.27088261222775
0.2,32.468003115180984,14.310041832299973,26.56124467925781,38.23024888143275,20.56298194692774
0.22,32.663648216373325,14.471432880377359,26.44476093731739,38.260496744176706,20.75906080760945
0.24,32.79354034030006,14.528201084415485,26.27935852304526,38.153567603928956,20.878605565937683
0.26,32.88124015778134,14.500507447161374,26.079041482661495,37.966169581065294,20.942290718014657
0.28,32.93864754042463,14.406044015309892,25.855216932050013,37.69855081816229,20.980768936733032
0.3,32.9788325401343,14.2724401397338,25.615375669227642,37.387161662418585,20.993346990543177
0.32,33.00060684308801,14.10739297256885,25.363514182703952,37.043108504524454,20.978185414174327
0.34,33.014167222554015,13.926259890837317,25.106260308004856,36.67552503544758,20.947978094175884
0.36,33.021885844539376,13.7354660850257,24.843937887570874,36.297824268210114,20.90635938053221
0.38,33.029870103359954,13.53086900339299,24.572411965462354,35.90398195823254,20.86506144055003
0.4,33.032054612072294,13.305320575652214,24.295634973467443,35.49600779039234,20.82264798239393
0.42,33.03495468022203,13.081255831695307,24.012956236667605,35.08637622764694,20.774722885880685
0.44,33.03832447113507,12.85404098250477,23.725298413153855,34.67009637186889,20.71779216746835
0.46,33.038268356444135,12.619758366107632,23.4338349440025,34.250963887776045,20.666552389670116
0.48,33.041385989476616,12.379086786142121,23.141086802941864,33.82918911388373,20.607931792816537
0.5,33.043092842350624,12.131727205744067,22.848439828225995,33.398883446197516,20.550607458756165
0.52,33.04450385884107,11.883437792679059,22.554836185916166,32.97588413596557,20.48932128519705
0.54,33.04916043993414,11.63676450764737,22.258198795924617,32.550501334913854,20.42795964117828
0.56,33.05317035786793,11.386607623278337,21.96078754565585,32.128540274771076,20.37203960309384
0.58,33.05693416049194,11.142453711245633,21.661899040769956,31.709526878495925,20.307413286572142
0.6,33.056353234257706,10.88742824043176,21.362384357545494,31.293245020899406,20.250873559195437
0.62,33.05615023482636,10.640213514985684,21.064931297091952,30.874110891385598,20.194884647894245
0.64,33.05487790500932,10.396523545396255,20.767777112189584,30.460224534510015,20.132970940067885
0.66,33.05077256810696,10.15135284963829,20.470011347390102,30.048724236923114,20.070424203514925
0.68,33.04330201219408,9.908241891999312,20.17366898199146,29.646482256018327,20.004273185084525
0.7000000000000001,33.03583998500938,9.661188810461756,19.877339871332257,29.247658002469365,19.941149299493794
0.72,33.03049908306809,9.424708576267546,19.582218110731812,28.85280399846097,19.87454614190838
0.74,33.02630967238953,9.174999830184253,19.287756841145242,28.463511082995176,19.809344144347378
0.76,33.02005839224988,8.931420688466956,18.992803095215216,28.07622693676069,19.74245889362471
0.78,33.01404838702229,8.69164581798328,18.698245594593374,27.689692082219615,19.669216690892764
0.8,33.00661542360414,8.454237973454244,18.404081083132947,27.310650133270556,19.60046889244645
0.8200000000000001,32.996792280929,8.209269163529203,18.112203192251947,26.939159318199614,19.5238639288977
0.84,32.988233700444816,7.970011407933701,17.820583734732022,26.568147480109488,19.443304215448865
0.86,32.97940526545179,7.732856905207671,17.533767079320867,26.19100543291505,19.369656739076426
0.88,32.97202727025645,7.489654241515618,17.247606092888585,25.827692410488137,19.293449070328105
0.9,32.95885907499041,7.248521771624919,16.960328822125568,25.473590304847534,19.223791174463248
0.92,32.94418303709625,7.01967515765681,16.677086893373875,25.128543607923916,19.145561535119082
0.9400000000000001,32.92749608264912,6.792655453641653,16.394848837647814,24.789245845123524,19.063544038753697
0.96,32.910672211710065,6.561709584087459,16.115685067066934,24.456469431038204,18.984852507644252
0.98,32.892064400442514,6.333282178583123,15.837482482740006,24.134416035660387,18.910929136130864
1.0,32.87031823187248,6.111073455028195,15.565970984490269,23.815949600879286,18.842434022260775
1.02,32.849505588049716,5.897048175459011,15.29749157502226,23.50593028945865,18.764701513480674
1.04,32.829539952977,5.690542719263752,15.030749404321753,23.207382321776745,18.68559060919826
1.06,32.80837126634689,5.485398557122993,14.767758827575003,22.91616017549223,18.603179628189622
1.08,32.78844650545879,5.2773575345224115,14.507358355917317,22.633264161940907,18.52126012288528
1.1,32.76522284301852,5.074203094293459,14.252007481047613,22.356825030144908,18.44796367283912
1.12,32.74117394984209,4.8859307897016455,14.00039818959286,22.090153229871195,18.370662222451195
1.1400000000000001,32.717799509400685,4.70054623965347,13.749841663216035,21.832263427561667,18.296843902030155
1.16,32.688424295513244,4.5211184840986816,13.506216269010919,21.58466795271796,18.22321685161353
1.18,32.65579644638642,4.35180335257529,13.26447903073412,21.344356764713297,18.155699568184797
1.2,32.621549313930764,4.179756550004137,13.022123176310838,21.10781947206992,18.08475051468378
1.22,32.5844498512961,4.016055997846718,12.78354495490225,20.88130393308526,18.0142692458941
1.24,32.54691166014989,3.8605891817396634,12.551600159571082,20.661643177493072,17.938134815143805
1.26,32.51224670537062,3.711328689767676,12.32542352824328,20.45327321881557,17.865428625679417
1.28,32.479623181935544,3.5657260064713063,12.09858766971184,20.248425814972947,17.797095689988325
1.3,32.44559753689696,3.437119457781946,11.877741772380864,20.053771532348545,17.727479273292882
1.32,32.410605491425784,3.3129033437295345,11.653853927038387,19.869258845115603,17.64856533168997
1.34,32.37360144325817,3.2023524383070012,11.438633748237859,19.690816384704792,17.57043327244059
1.36,32.33295413286024,3.1020914562828104,11.227611640937683,19.526001204488455,17.484834575401
1.3800000000000001,32.290800001342284,3.0148948022428224,11.021474490699507,19.365479868885934,17.40057839685356
1.4000000000000001,32.24909646103308,2.937389200351666,10.817064318790102,19.21696388646047,17.318951154337203
1.42,32.20331070267037,2.872229484344574,10.617069217261855,19.078985033624516,17.238408543137584
1.44,32.15731731986195,2.8156466221536895,10.416518467644114,18.94578523048637,17.155559132368015
1.46,32.10943332585449,2.770311188830179,10.221210009792996,18.8181192567427,17.073093064971843
1.48,32.06186291127106,2.7351027808222157,10.02845747195091,18.702578629721284,16.987006172282875
1.5,32.01383239768303,2.7108861161833904,9.84366161191332,18.5917335994402,16.8935260025155
1.52,31.966649935110627,2.6916761796071564,9.658124419335188,18.48899159988319,16.80314253722342
1.54,31.914275227258305,2.678543441587024,9.479773901331717,18.389922429864264,16.723672868164787
1.56,31.859175002690925,2.6744143336299966,9.306708395653363,18.300226324934112,16.646691731157038
1.58,31.80594871886779,2.6770256406321518,9.13947906030171,18.217962676652697,16.560606200016373
1.6,31.753994698353676,2.686732046002154,8.970304611425,18.142899392286598,16.47073866122863
1.62,31.703515753724293,2.7069664860109746,8.804973081873682,18.06766432238279,16.38345631475624
1.6400000000000001,31.654252009964974,2.729278452661305,8.643561738426698,18.000865203256666,16.291476411296358
1.6600000000000001,31.599591539358645,2.7513739891839633,8.483000360902937,17.936194157074368,16.20125475287268
1.68,31.54520147614566,2.779950708373266,8.330241980353442,17.877718948672594,16.11519955846617
1.7,31.49063285891837,2.8141224355847028,8.17504327056447,17.827571220655134,16.036644792015384
1.72,31.43566070190541,2.8506261640147246,8.02722359987832,17.776740827251253,15.951928982985741
1.74,31.377888053966505,2.89042201947786,7.8814051209080205,17.732133782323768,15.872668381800366
1.76,31.314689567945734,2.932017578214298,7.738898384351898,17.694048454894673,15.790523134612462
1.78,31.25233317527072,2.9777626873986005,7.606602628025538,17.654447012046273,15.70938353029175
1.8,31.192201053457758,3.0238463083171716,7.472569357415053,17.616937601729468,15.624967715665786
1.82,31.133214077744547,3.070599622634355,7.348060162440973,17.585634547868715,15.535738830052095
1.84,31.07608402648669,3.1167295995182545,7.226476680531699,17.549265222361452,15.452430749936418
1.86,31.016797386637045,3.164918411216369,7.108336616351117,17.52367020097217,15.37246397135593
